"In-Situ Inc.","Troll",,,,,
,,,,,,
"Report generated:",10/2/2003,15:16:09,,,,
"Report from file:","J:\shreiner\SsFL\Northeast Area Studies\Pumping Tests\C-1\bin Files\New to be updated\SN13360 2003-08-25 110000 WS-14 C1 P-test.bin",,,,,
"DataMgr Version",3.7,,,,,
,,,,,,
"Serial number:",13360,,,,,
"Firmware Version",7.1,,,,,
"Unit name: ","SP-4000",,,,,
,,,,,,
"Test name:",,"WS-14 C1 P-test",,,,
,,,,,,
"Test defined on:",8/21/2003,11:10:26,,,,
"Test scheduled for:",8/25/2003,11:00:00,,,,
"Test started on:",8/25/2003,11:00:00,,,,
"Test stopped on:","N/A","N/A",,,,
"Test extracted on:",9/30/2003,10:50:15,,,,
,,,,,,
"Data gathered using Logarithmic testing",,,,,,
"   Maximum time between data points:      10.0000","Minutes.",,,,,
"   Number of data samples:",5316,,,,,
,,,,,,
,,,,,,
"TOTAL DATA SAMPLES",5316,,,,,
,,,,,,
"Channel number [2]",,,,,,
"  Measurement type:","Pressure",,,,,
"  Channel name:","WS14 dtw",,,,,
"  Sensor Range:","100 PSI.",,,,,
"  Specific gravity:",1,,,,,
"  Mode:","TOC",,,,,
"  User-defined reference:",354.29,"Feet H2O",,,"WS-14 Measuring",
"  Referenced on:","channel definition.",,,,"Point Elevation",
"  Pressure head at reference:",49.22,"Feet H2O",,,1878.23,"feet msl"
,,,,,,
,,,,"dtw",,"GW"
,"          ",,,"Chan[2]","drawdown","Elevation"
"  Date      Time","  ET (min)","ET (hours)","ET (days)","(feet btc)","(feet)","(feet msl)"
"--------  --------","------------","------------","------------","---------------","---------------","---------------"
37858.45833333330000000000,0.0000,0.0000,0.0000,354.0450,0.0000,1524.1850
37858.45833333330000000000,0.0050,0.0001,0.0000,354.0450,0.0000,1524.1850
37858.45833333330000000000,0.0100,0.0002,0.0000,354.0450,0.0000,1524.1850
37858.45833333330000000000,0.0150,0.0003,0.0000,354.0450,0.0000,1524.1850
37858.45834490740000000000,0.0200,0.0003,0.0000,354.0640,0.0190,1524.1660
37858.45834490740000000000,0.0250,0.0004,0.0000,354.0450,0.0000,1524.1850
37858.45834490740000000000,0.0300,0.0005,0.0000,354.0450,0.0000,1524.1850
37858.45835648150000000000,0.0350,0.0006,0.0000,354.0450,0.0000,1524.1850
37858.45835648150000000000,0.0400,0.0007,0.0000,354.0450,0.0000,1524.1850
37858.45835648150000000000,0.0450,0.0008,0.0000,354.0640,0.0190,1524.1660
37858.45836805560000000000,0.0500,0.0008,0.0000,354.0450,0.0000,1524.1850
37858.45836805560000000000,0.0550,0.0009,0.0000,354.0640,0.0190,1524.1660
37858.45836805560000000000,0.0600,0.0010,0.0000,354.0500,0.0050,1524.1800
37858.45836805560000000000,0.0650,0.0011,0.0000,354.0640,0.0190,1524.1660
37858.45837962960000000000,0.0700,0.0012,0.0000,354.0640,0.0190,1524.1660
37858.45837962960000000000,0.0750,0.0013,0.0001,354.0500,0.0050,1524.1800
37858.45837962960000000000,0.0800,0.0013,0.0001,354.0640,0.0190,1524.1660
37858.45839120370000000000,0.0850,0.0014,0.0001,354.0500,0.0050,1524.1800
37858.45839120370000000000,0.0900,0.0015,0.0001,354.0640,0.0190,1524.1660
37858.45839120370000000000,0.0950,0.0016,0.0001,354.0640,0.0190,1524.1660
37858.45840277780000000000,0.1000,0.0017,0.0001,354.0500,0.0050,1524.1800
37858.45840277780000000000,0.1058,0.0018,0.0001,354.0500,0.0050,1524.1800
37858.45840277780000000000,0.1120,0.0019,0.0001,354.0500,0.0050,1524.1800
37858.45841435190000000000,0.1185,0.0020,0.0001,354.0640,0.0190,1524.1660
37858.45841435190000000000,0.1255,0.0021,0.0001,354.0640,0.0190,1524.1660
37858.45841435190000000000,0.1328,0.0022,0.0001,354.0500,0.0050,1524.1800
37858.45842592590000000000,0.1407,0.0023,0.0001,354.0640,0.0190,1524.1660
37858.45842592590000000000,0.1490,0.0025,0.0001,354.0500,0.0050,1524.1800
37858.45843750000000000000,0.1578,0.0026,0.0001,354.0500,0.0050,1524.1800
37858.45844907410000000000,0.1672,0.0028,0.0001,354.0640,0.0190,1524.1660
37858.45844907410000000000,0.1770,0.0030,0.0001,354.0500,0.0050,1524.1800
37858.45846064820000000000,0.1875,0.0031,0.0001,354.0640,0.0190,1524.1660
37858.45846064820000000000,0.1985,0.0033,0.0001,354.0500,0.0050,1524.1800
37858.45847222220000000000,0.2102,0.0035,0.0001,354.0640,0.0190,1524.1660
37858.45848379630000000000,0.2227,0.0037,0.0002,354.0500,0.0050,1524.1800
37858.45849537040000000000,0.2358,0.0039,0.0002,354.0640,0.0190,1524.1660
37858.45849537040000000000,0.2498,0.0042,0.0002,354.0640,0.0190,1524.1660
37858.45850694440000000000,0.2647,0.0044,0.0002,354.1050,0.0600,1524.1250
37858.45851851850000000000,0.2803,0.0047,0.0002,354.1050,0.0600,1524.1250
37858.45853009260000000000,0.2970,0.0050,0.0002,354.1050,0.0600,1524.1250
37858.45854166670000000000,0.3147,0.0052,0.0002,354.1240,0.0790,1524.1060
37858.45856481480000000000,0.3333,0.0056,0.0002,354.1050,0.0600,1524.1250
37858.45857638890000000000,0.3532,0.0059,0.0002,354.1050,0.0600,1524.1250
37858.45858796300000000000,0.3742,0.0062,0.0003,354.1050,0.0600,1524.1250
37858.45859953700000000000,0.3963,0.0066,0.0003,354.1240,0.0790,1524.1060
37858.45862268520000000000,0.4198,0.0070,0.0003,354.1240,0.0790,1524.1060
37858.45863425930000000000,0.4447,0.0074,0.0003,354.1050,0.0600,1524.1250
37858.45865740740000000000,0.4697,0.0078,0.0003,354.1050,0.0600,1524.1250
37858.45866898150000000000,0.4963,0.0083,0.0003,354.1050,0.0600,1524.1250
37858.45869212960000000000,0.5247,0.0087,0.0004,354.1050,0.0600,1524.1250
37858.45871527780000000000,0.5547,0.0092,0.0004,354.1050,0.0600,1524.1250
37858.45873842590000000000,0.5863,0.0098,0.0004,354.1050,0.0600,1524.1250
37858.45876157410000000000,0.6213,0.0104,0.0004,354.1050,0.0600,1524.1250
37858.45878472220000000000,0.6580,0.0110,0.0005,354.1050,0.0600,1524.1250
37858.45880787040000000000,0.6963,0.0116,0.0005,354.1050,0.0600,1524.1250
37858.45884259260000000000,0.7380,0.0123,0.0005,354.1050,0.0600,1524.1250
37858.45886574070000000000,0.7813,0.0130,0.0005,354.1050,0.0600,1524.1250
37858.45890046300000000000,0.8280,0.0138,0.0006,354.1050,0.0600,1524.1250
37858.45893518520000000000,0.8763,0.0146,0.0006,354.1050,0.0600,1524.1250
37858.45896990740000000000,0.9280,0.0155,0.0006,354.1050,0.0600,1524.1250
37858.45900462960000000000,0.9830,0.0164,0.0007,354.1050,0.0600,1524.1250
37858.45905092590000000000,1.0413,0.0174,0.0007,354.1050,0.0600,1524.1250
37858.45909722220000000000,1.1030,0.0184,0.0008,354.1050,0.0600,1524.1250
37858.45914351850000000000,1.1680,0.0195,0.0008,354.1050,0.0600,1524.1250
37858.45918981480000000000,1.2380,0.0206,0.0009,354.1050,0.0600,1524.1250
37858.45923611110000000000,1.3113,0.0219,0.0009,354.1050,0.0600,1524.1250
37858.45929398150000000000,1.3897,0.0232,0.0010,354.0920,0.0470,1524.1380
37858.45935185190000000000,1.4730,0.0246,0.0010,354.1050,0.0600,1524.1250
37858.45940972220000000000,1.5613,0.0260,0.0011,354.1050,0.0600,1524.1250
37858.45947916670000000000,1.6547,0.0276,0.0011,354.1050,0.0600,1524.1250
37858.45954861110000000000,1.7530,0.0292,0.0012,354.1050,0.0600,1524.1250
37858.45961805560000000000,1.8580,0.0310,0.0013,354.1050,0.0600,1524.1250
37858.45969907410000000000,1.9680,0.0328,0.0014,354.1050,0.0600,1524.1250
37858.45978009260000000000,2.0847,0.0347,0.0014,354.1050,0.0600,1524.1250
37858.45986111110000000000,2.2097,0.0368,0.0015,354.1050,0.0600,1524.1250
37858.45995370370000000000,2.3413,0.0390,0.0016,354.1050,0.0600,1524.1250
