UTC,WL_ft,,,
735696.9514,49.50553214,,,
735696.9583,49.49348008,,,
735696.9653,49.50553214,,,
735696.9722,49.50553214,,,
735696.9792,49.50553214,,,
735696.9861,49.50553214,,,
735696.9931,49.49348008,,,
735697,49.50553214,,,
735697.0069,49.49348008,,,
735697.0139,49.49348008,,,
735697.0208,49.49348008,,,
735697.0278,49.49348008,,,
735697.0347,49.49348008,,,
735697.0417,49.49348008,,,
735697.0486,49.49348008,,,
735697.0556,49.49348008,,,
735697.0625,49.48142801,,,
735697.0694,49.49348008,,,
735697.0764,49.49348008,,,
735697.0833,49.49348008,,,
735697.0903,49.49348008,,,
735697.0972,49.49348008,,,
735697.1042,49.50553214,,,
735697.1111,49.49348008,,,
735697.1181,49.49348008,,,
735697.125,49.50553214,,,
735697.1319,49.50553214,,,
735697.1389,49.49348008,,,
735697.1458,49.50553214,,,
735697.1528,49.50553214,,,
735697.1597,49.50553214,,,
735697.1667,49.51758421,,,
735697.1736,49.50553214,,,
735697.1806,49.51758421,,,
735697.1875,49.51758421,,,
735697.1944,49.51758421,,,
735697.2014,49.51758421,,,
735697.2083,49.51758421,,,
735697.2153,49.51758421,,,
735697.2222,49.52963627,,,
735697.2292,49.52963627,,,
735697.2361,49.52963627,,,
735697.2431,49.54168834,,,
735697.25,49.52963627,,,
735697.2569,49.54168834,,,
735697.2639,49.54168834,,,
735697.2708,49.5537404,,,
735697.2778,49.54168834,,,
735697.2847,49.54168834,,,
735697.2917,49.54168834,,,
735697.2986,49.5537404,,,
735697.3056,49.5537404,,,
735697.3125,49.5537404,,,
735697.3194,49.56579247,,,
735697.3264,49.5537404,,,
735697.3333,49.5537404,,,
735697.3403,49.56579247,,,
735697.3472,49.56579247,,,
735697.3542,49.56579247,,,
735697.3611,49.56579247,,,
735697.3681,49.56579247,,,
735697.375,49.5537404,,,
735697.3819,49.56579247,,,
735697.3889,49.56579247,,,
735697.3958,49.56579247,,,
735697.4028,49.56579247,,,
735697.4097,49.56579247,,,
735697.4167,49.56579247,,,
735697.4236,49.56579247,,,
735697.4306,49.5537404,,,
735697.4375,49.5537404,,,
735697.4444,49.56579247,,,
735697.4514,49.5537404,,,
735697.4583,49.56579247,,,
735697.4653,49.56579247,,,
735697.4722,49.56579247,,,
735697.4792,49.56579247,,,
735697.4861,49.5537404,,,
735697.4931,49.56579247,,,
735697.5,49.5537404,,,
735697.5069,49.5537404,,,
735697.5139,49.54168834,,,
735697.5208,49.5537404,,,
735697.5278,49.54168834,,,
735697.5347,49.5537404,,,
735697.5417,49.56579247,,,
735697.5486,49.56579247,,,
735697.5556,49.56579247,,,
735697.5625,49.56579247,,,
735697.5694,49.56579247,,,
